WikiPageName,Party,State,Name,tw_id,tw_name
Pramila_Jayapal,Democratic,Washington,Pramila Jayapal,8.15733290955e+17,RepJayapal
Mike_Johnson_(Louisiana_politician),Republican,Louisiana,Mike Johnson,8.27279765288e+17,RepMikeJohnson
Ro_Khanna,Democratic,California,Ro Khanna,8.16298918468e+17,RepRoKhanna
Raja_Krishnamoorthi,Democratic,Illinois,Raja Krishnamoorthi,8.14179031956e+17,CongressmanRaja
David_Kustoff,Republican,Tennessee,David Kustoff,8.16012124506e+17,RepDavidKustoff
Al_Lawson,Democratic,Florida,Al Lawson,8.18472418621e+17,RepAlLawsonJr
Roger_Marshall_(politician),Republican,Kansas,Roger Marshall,7.52364246219e+17,RepMarshall
Brian_Mast,Republican,Florida,Brian Mast,8.14103950404e+17,RepBrianMast
Donald_McEachin,Democratic,Virginia,Donald McEachin,8.16181091673e+17,RepMcEachin
Paul_Mitchell_(politician),Republican,Michigan,Paul Mitchell,8.11632636599e+17,RepPaulMitchell
Stephanie_Murphy,Democratic,Florida,Stephanie Murphy,7.96183515998e+17,RepStephMurphy
Tom_O'Halleran,Democratic,Arizona,Tom O'Halleran,8.08416682973e+17,RepOHalleran
Jimmy_Panetta,Democratic,California,Jimmy Panetta,7.96736612554e+17,RepJimmyPanetta
